Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
3092,24029861,sett24_4,3092,7,3500,3500,0.6,0.4,6,1,0.8,0.15,700,0.22,1.0,1968.75,525.0,243.25,174.0723628264981,303.10889132455355,243.2523124247743
3093,58212351,sett24_4,3093,4,3000,3000,0.75,0.5,1,10,0.5,0.95,600,0.1,1.0,2143.0,0.0,0.0,20.848661028149188,0.0,0.0
3094,17105529,sett24_4,3094,4,500,500,0.35,0.4,1,4,0.95,0.3,100,0.42,1.0,156.0,0.0,0.0,2.449489742783178,0.0,0.0
3095,26098624,sett24_4,3095,5,3000,1500,0.4,0.6,4,4,0.45,0.75,600,0.1,0.5,307.3333333333333,400.0,40.333333333333336,15.4344492037203,282.842712474619,28.755675768252935
3096,80943257,sett24_4,3096,11,500,500,0.85,0.75,10,2,0.5,0.55,100,0.28,1.0,422.0,83.33333333333333,73.16666666666667,10.03327796219494,37.26779962499649,32.88574496985316
3097,52248828,sett24_4,3097,4,3500,1750,0.85,0.6,3,9,0.4,0.2,700,0.08,0.5,1750.0,466.6666666666667,425.3333333333333,0.0,329.98316455372213,301.8888684414993
3098,75279158,sett24_4,3098,4,500,250,0.55,0.7,3,7,0.65,0.6,100,0.3,0.5,149.66666666666666,66.66666666666667,20.666666666666668,17.98765008430939,47.14045207910317,15.412837362262522
3099,98220254,sett24_4,3099,11,4000,4000,0.25,0.5,10,8,0.35,0.45,800,0.42,1.0,311.3333333333333,666.6666666666666,77.5,1.3743685418725535,298.14239699997194,34.659053651246744
3100,11774823,sett24_4,3100,4,1500,750,0.75,0.95,2,5,0.15,0.85,300,0.5,0.5,525.0,100.0,5.666666666666667,318.1980515339464,141.4213562373095,8.013876853447538
3101,64349076,sett24_4,3101,14,2500,2500,0.45,0.45,8,9,0.8,0.85,500,0.08,1.0,528.4285714285714,764.8571428571429,177.85714285714286,40.33026918140887,804.2638921170496,202.2822840709972
3102,18555012,sett24_4,3102,7,4000,2000,0.4,0.9,6,2,0.75,0.75,800,0.48,0.5,485.75,600.0,71.5,99.58507669324756,346.41016151377545,43.18275118609281
3103,12436400,sett24_4,3103,4,2000,2000,0.35,0.9,2,10,0.7,0.1,400,0.26,1.0,414.0,133.33333333333334,41.0,104.2688831818966,188.56180831641268,57.982756057296896
3104,47661035,sett24_4,3104,24,1000,1000,0.6,0.25,10,9,0.75,0.95,200,0.46,1.0,495.6666666666667,24.333333333333332,10.75,11.047875612784368,41.69598968192931,18.8242972423054
3105,91243418,sett24_4,3105,4,3000,1500,0.55,0.4,2,4,0.4,0.1,600,0.18,0.5,816.6666666666666,200.0,119.33333333333331,140.17687239896443,282.842712474619,168.76281844318936
3106,76375005,sett24_4,3106,4,3500,1750,0.55,0.9,3,0,0.7,0.6,700,0.04,0.5,1147.6666666666667,466.6666666666667,166.66666666666666,157.77691705555523,329.98316455372213,120.53860607936178
3107,16293045,sett24_4,3107,4,1500,750,0.15,0.2,1,9,0.2,0.8,300,0.02,0.5,7.666666666666667,0.0,0.0,2.0548046676563256,0.0,0.0
3108,4229,sett24_4,3108,200,3500,1750,0.9,0.05,7,1,0.95,0.6,700,0.38,0.5,1750.0,2875.43,1802.99,0.0,121.58628664450607,65.46777757034373
3109,34685200,sett24_4,3109,7,3000,3000,0.7,0.75,6,5,0.6,0.65,600,0.48,1.0,1937.0,450.0,282.25,7.3824115301167,259.8076211353316,163.02051251299636
3110,8076279,sett24_4,3110,7,2000,1000,0.65,0.4,6,8,0.15,0.25,400,0.32,0.5,811.5,300.0,226.75,191.5313290300049,173.20508075688772,132.86529832879614
3111,16380667,sett24_4,3111,8,1000,1000,0.85,0.75,7,9,0.2,0.1,200,0.3,1.0,935.0,150.0,100.0,84.63746215476927,86.60254037844386,100.0
3112,90559640,sett24_4,3112,6,4000,4000,0.05,0.05,4,3,0.6,0.6,800,0.42,1.0,0.3333333333333333,318.6666666666667,0.3333333333333333,0.4714045207910317,396.78821667091984,0.4714045207910317
3113,38754056,sett24_4,3113,5,500,500,0.45,0.95,4,3,0.95,0.15,100,0.06,1.0,205.0,66.66666666666667,26.0,8.48528137423857,47.14045207910317,18.457157599876172
3114,46659178,sett24_4,3114,10,2500,2500,0.9,0.75,9,10,0.65,0.5,500,0.32,1.0,2224.2,400.0,352.2,21.160340261914502,200.0,176.12427430652482
3115,57131639,sett24_4,3115,7,1000,1000,0.45,0.15,6,6,0.5,0.1,200,0.42,1.0,316.0,150.0,38.0,33.18132004607411,86.60254037844386,38.1051177665153
